ID,Page,Text
001,3,●大連港口（大連）　大連港は延長一萬三千餘尺の防波堤を以て東西北三方を圍み、港内九十四萬坪の海面に三本のピーアが出て居る、その延長一萬二千六百三十尺、一時に十五萬噸の汽船が繫留され、年額約四百五十萬噸の貨物を吞吐する。滿蒙の玄關たるに恥づかしくない。　（印畫の複製を嚴禁す）／／●大連港口（大連）　大連港は延長一万三千余尺の防波堤を以て東西北三方を囲み、港内九十四万坪の海面に三本のピーアが出て居る、その延長一万二千六百三十尺、一時に十五万噸の汽船が繋留され、年額約四百五十万噸の貨物を呑吐する。満蒙の玄関たるに恥づかしくない。　（印画の複製を厳禁す）
001,4,●定期船々客上陸（大連）　内地からの定期船が到着して、乗客の上陸する光景である。左側に見江る建物は乗船客の待合室で、内外の設備装飾、共に東洋に其の比を見ざる立派なもので乗降客はベランダーより突出してゐる加働式乗降梯によつて乗降する。　（印畫の複製を嚴禁す）／／●定期船々客上陸（大連）　内地からの定期船が到着して、乗客の上陸する光景である。左側に見江る建物は乗船客の待合室で、内外の設備装飾、共に東洋に其の比を見ざる立派なもので乗降客はベランダーより突出してゐる加働式乗降梯によつて乗降する。　（印画の複製を厳禁す）
001,5,◆蒙古の沙丘　汽車に別れてから幾日の旅寢、蒲鉾馬車に委せた體と魂とは、蒙古の原始生活を憧れて此の方大興安嶺へと急ぐ。開魯から札魯特旗領への途中茫々たる黃沙の平原にさながらの巨濤の如く蜒蜿として隆起して居るものは所謂沙丘である。七月の太陽は赫灼として地の底にまで照りつけて居る、熱砂は百何十度の高溫を示し蠟燭は溶け燐寸は自然發火をするといふ狀態、人も馬も正に昏倒せんとする中を路案内の蒙古人は騎馬で此の焦熱地帶を悠々突破する。　（印畫の複製を嚴禁す）／／◆蒙古の沙丘　汽車に別れてから幾日の旅寝、蒲鉾馬車に委せた体と魂とは、蒙古の原始生活を憧れて此の方大興安嶺へと急ぐ。開魯から札魯特旗領への途中茫々たる黄沙の平原にさながらの巨涛の如く蜒蜿として隆起して居るものは所謂沙丘である。七月の太陽は赫灼として地の底にまで照りつけて居る、熱砂は百何十度の高温を示し蝋燭は溶け燐寸は自然発火をするといふ状態、人も馬も正に昏倒せんとする中を路案内の蒙古人は騎馬で此の焦熱地帯を悠々突破する。　（印画の複製を厳禁す）
001,6,◆蒙古美人（蒙古）　某王の内室で、濶額豊頰の間に眉目の愛くるしさを湛へたる正に母性の典型的表情を有して居る。頭髪、服裝共に滿蒙婦人の風俗であるが、爰に漢蒙兩種族の服裝の相異は、漢族の女性はスカートを用ゐるに不拘、滿蒙婦人は男子と同一の大掛兒［ターコール］を着し決して袴を穿かない處に特徴がある。　（印畫の複製を嚴禁す）／／◆蒙古美人（蒙古）　某王の内室で、濶額豊頬の間に眉目の愛くるしさを湛へたる正に母性の典型的表情を有して居る。頭髪、服装共に満蒙婦人の風俗であるが、爰に漢蒙両種族の服装の相異は、漢族の女性はスカートを用ゐるに不拘、満蒙婦人は男子と同一の大掛児［ターコール］を着し決して袴を穿かない処に特徴がある。　（印画の複製を厳禁す）
001,7,◆放牧（蒙古）　蒙古人の生活は牧畜を基本とする、彼等が人生に於て天地間唯一の伴侶はその家畜である。彼等が日常の挨拶にも先づ以て家畜の近況、牧草の有無を尋ねてから後用談に移るのが禮だ。而して彼等の最も怖るゝものは旱魃と大雪である。旱魃は水脈を絶ち、大雪は牧草を雪中深く埋め隱して了ふ。それがため家畜は飢え甚だしき時はその大半を凍死せしめることがある。　（印畫の複製を嚴禁す）／／◆放牧（蒙古）　蒙古人の生活は牧畜を基本とする、彼等が人生に於て天地間唯一の伴侶はその家畜である。彼等が日常の挨拶にも先づ以て家畜の近況、牧草の有無を尋ねてから後用談に移るのが礼だ。而して彼等の最も怖るゝものは旱魃と大雪である。旱魃は水脈を絶ち、大雪は牧草を雪中深く埋め隠して了ふ。それがため家畜は飢え甚だしき時はその大半を凍死せしめることがある。　（印画の複製を厳禁す）
001,8,●牛糞の貯藏（蒙古）　蒙古人の牛糞の利用は之れを燃料とするばかりでなく往々塗料にも用ゐる。囤積したる此牛糞は彼等が冬季を經過するためには如何に貴重な燃料であるか想像の外である。蓋し蒙古人は草を刈る勞を牛を以て代用せしめ、牛がその榮養を生草に依つて受け、而して排泄したその不用物は燃料として利用するといふ自然と人間の生活に於ける交互作用が少しの無駄もなしに遺憾なく實現されて居る。　（印畫の複製を嚴禁す）／／●牛糞の貯蔵（蒙古）　蒙古人の牛糞の利用は之れを燃料とするばかりでなく往々塗料にも用ゐる。囤積したる此牛糞は彼等が冬季を経過するためには如何に貴重な燃料であるか想像の外である。蓋し蒙古人は草を刈る労を牛を以て代用せしめ、牛がその栄養を生草に依つて受け、而して排泄したその不用物は燃料として利用するといふ自然と人間の生活に於ける交互作用が少しの無駄もなしに遺憾なく実現されて居る。　（印画の複製を厳禁す）
001,9,◆蒙古包の裝飾（蒙古）　某王府の蒙古包の外觀を黃、鰕茶、黑などの毛氈を以て被覆して裝飾をした光景だ。之れは主に冠婚葬祭の儀式をする場合に行はれ内部には王座もあり、卓子其他の調度などそれ（ぞれ）に立派なものが用ゐられてる。　（印畫の複製を嚴禁す）／／◆蒙古包の装飾（蒙古）　某王府の蒙古包の外観を黄、鰕茶、黒などの毛氈を以て被覆して装飾をした光景だ。之れは主に冠婚葬祭の儀式をする場合に行はれ内部には王座もあり、卓子其他の調度などそれ（ぞれ）に立派なものが用ゐられてる。　（印画の複製を厳禁す）
001,10,◆井戸（蒙古）　蒙古の井戸は生ける凡在ゆるものゝ生命である。偶然に見出されたる一瀦の水源は何百年の昔から地下の水脈に依つて搬ばれた此の無水の世界への唯一の天惠であらねばならぬ。何處よりか持ち來たされけん一本の楡の巨材をくり拔いた水槽は牛馬羊の幾千と數へらるゝ家畜のために飲料水を供給されるものである。　（印畫の複製を嚴禁す）／／◆井戸（蒙古）　蒙古の井戸は生ける凡在ゆるものゝ生命である。偶然に見出されたる一瀦の水源は何百年の昔から地下の水脈に依つて搬ばれた此の無水の世界への唯一の天恵であらねばならぬ。何処よりか持ち来たされけん一本の楡の巨材をくり抜いた水槽は牛馬羊の幾千と数へらるゝ家畜のために飲料水を供給されるものである。　（印画の複製を厳禁す）
001,11,◆駱駝（風俗）　荒れ野路、胡砂吹く風に送られて、さして行方は白音太拉、駱駝鈴に日は暮れて、冷たき夢の蒙古旅。　（種板番號　八三）／／◆駱駝（風俗）　荒れ野路、胡砂吹く風に送られて、さして行方は白音太拉、駱駝鈴に日は暮れて、冷たき夢の蒙古旅。　（種板番号　八三）
001,12,◆メーリン廟喇嘛の塔（蒙古）　開魯から一日半行程にしてメーリン廟の喇嘛部落につく、此の喇嘛廟は内蒙中にも有數なもので外觀結構共に壯觀である。廟前門内にある二基の喇嘛塔はその彫刻布彩裝飾の表現に於て頗る異觀を呈して居る。恐らく西藏直線のものであらう、五輪の頂上にある桃型の裝飾は日月を象徵したものだ。　（種板番號　三六七）／／◆メーリン廟喇嘛の塔（蒙古）　開魯から一日半行程にしてメーリン廟の喇嘛部落につく、此の喇嘛廟は内蒙中にも有数なもので外観結構共に壮観である。廟前門内にある二基の喇嘛塔はその彫刻布彩装飾の表現に於て頗る異観を呈して居る。恐らく西蔵直線のものであらう、五輪の頂上にある桃型の装飾は日月を象徴したものだ。　（種板番号　三六七）
